Metric,Details
Features,"Features: area, bathrooms, stories, airconditioning, guestroom, parking. Importance: area=49.8%, bathrooms=18.2%, stories=10.5%, airconditioning=8.7%, guestroom=6.3%, parking=6.5%."
Hyperparameters,"Random Forest Parameters: n_estimators=100, max_depth=None, min_samples_split=2, random_state=42."
Performance Metrics,"R2 Score=0.92, MAE=23450, RMSE=29870."
